Date,Low,High,Open,Close,Volume,Mean
31-12-2017 00:00,12596.12,12640,12640,12596.13,0.49606501,
30-12-2017 00:00,14300,14351,14351,14300.01,8.20884333,
29-12-2017 00:00,14434,14497,14436.99,14497,7.48591336,
28-12-2017 00:00,15357.11,15404.99,15390.05,15399.99,1.50347029,
27-12-2017 00:00,15685.7,15764.45,15764.45,15685.7,6.74971767,
26-12-2017 00:00,13924.06,13925.5,13925.5,13924.06,0.11220855,
25-12-2017 00:00,14104.81,14187.57,14107.87,14187.56,29.46976727,
24-12-2017 00:00,14568.41,14619,14619,14575.25,6.29881676,
23-12-2017 00:00,13825.09,14009.79,13980,13999.98,14.54078739,
22-12-2017 00:00,15600,15743.71,15600,15716.96,50.79314236,
21-12-2017 00:00,16404.75,16494.52,16466.98,16484.07,27.6939441,
20-12-2017 00:00,17650,17700.29,17700,17650,31.9946032,
19-12-2017 00:00,18899.99,18949.99,18940.58,18900,8.20876244,
18-12-2017 00:00,18907.59,18953,18953,18948.51,3.28952515,
17-12-2017 00:00,19160.79,19187.8,19187.78,19160.79,3.12668841,
16-12-2017 00:00,17465.37,17488.99,17477.98,17488.99,0.87685446,
15-12-2017 00:00,16389.95,16405,16404.99,16390.01,5.58778647,
14-12-2017 00:00,16165.88,16252.99,16245.02,16234.25,2.92525948,
13-12-2017 00:00,16650,16675.77,16650.01,16675.77,10.4624348,
12-12-2017 00:00,16400,16470,16470,16400,3.09828212,
11-12-2017 00:00,14677.19,14741.44,14690.99,14741.44,3.13942272,
10-12-2017 00:00,14500.01,14622.06,14601.01,14555.97,7.90847087,
09-12-2017 00:00,15762.13,15799.87,15799.87,15769.66,4.4283622,
08-12-2017 00:00,16500.02,16599.99,16599.99,16565.01,14.04153592,
07-12-2017 00:00,13599.98,13623,13623,13619.94,12.390335,
06-12-2017 00:00,11659.8,11690,11676.99,11659.81,1.57911337,
05-12-2017 00:00,11613.02,11629,11613.07,11629,25.57216753,
04-12-2017 00:00,11184.51,11250,11250,11184.51,8.6955527,
03-12-2017 00:00,10871.57,10875.68,10875.68,10875.68,1.51437369,
02-12-2017 00:00,10823,10841.32,10840.45,10840.35,8.62538619,
01-12-2017 00:00,9927.29,9950,9927.29,9937.81,3.43757643,
30-11-2017 00:00,9820.81,9845.23,9833.7,9820.87,1.99678523,
29-11-2017 00:00,9877.38,9877.63,9877.63,9877.38,1.12395607,
28-11-2017 00:00,9683.89,9709,9708.06,9709,2.19293797,
27-11-2017 00:00,9271.01,9278.99,9278.99,9275.79,0.03692325,
26-11-2017 00:00,8700.1,8720.62,8718,8700.74,1.31079287,
25-11-2017 00:00,8194.15,8199.83,8199.83,8194.15,0.54958012,
24-11-2017 00:00,7988.9,8001.5,7988.96,8000.01,6.49460027,
23-11-2017 00:00,8214.69,8228.85,8214.69,8228.85,3.93277135,
22-11-2017 00:00,8078.97,8095.2,8095.19,8079.77,1.10926006,
21-11-2017 00:00,8204.07,8226.14,8226.14,8213,0.52534514,
20-11-2017 00:00,8016.23,8036.3,8016.58,8036.3,34.72066333,
19-11-2017 00:00,7774.32,7775.55,7775.55,7774.32,0.93649104,
18-11-2017 00:00,7673.07,7685.42,7675,7685.42,0.34320338,
17-11-2017 00:00,7827.07,7859.78,7846.96,7859.78,1.84448737,
16-11-2017 00:00,7294,7310,7294,7307.99,2.67242113,
15-11-2017 00:00,6609,6615,6609,6612.7,9.98263628,
14-11-2017 00:00,6524.69,6548.07,6524.69,6543.1,6.4138365,
13-11-2017 00:00,5850.2,5870.03,5870.03,5853.64,12.80773581,
12-11-2017 00:00,6330.29,6355.13,6355.13,6330.29,31.33902764,
11-11-2017 00:00,6586.13,6588.18,6588.18,6586.13,1.67422912,
10-11-2017 00:00,7147.27,7160.99,7150.61,7147.27,5.39818413,
09-11-2017 00:00,7450.33,7466.57,7465.06,7465.96,4.26694651,
08-11-2017 00:00,7116.58,7139,7131.38,7116.58,24.55445325,
07-11-2017 00:00,6945,6968.4,6967.64,6968.4,43.56440071,
06-11-2017 00:00,7351.04,7373.76,7373.3,7364.91,10.69794439,
05-11-2017 00:00,7357.29,7388.79,7388.79,7358.31,0.20789029,
04-11-2017 00:00,7140.25,7169.68,7145.24,7150,6.83869378,
03-11-2017 00:00,7029.93,7037.88,7030,7030.01,10.32604138,
02-11-2017 00:00,6745.03,6760,6745.04,6750.1,34.98520889,
01-11-2017 00:00,6413.62,6440.05,6434.24,6413.62,17.75452156,
31-10-2017 00:00,6119.9,6135.74,6120,6135.74,3.90936568,
30-10-2017 00:00,6130,6136,6133.01,6130,4.21164545,
29-10-2017 00:00,5731.7,5731.7,5731.7,5731.7,0.28571348,
28-10-2017 00:00,5773.03,5779.56,5773.03,5779.54,0.37272455,
27-10-2017 00:00,5880.11,5890,5889.99,5882.87,12.32510229,
26-10-2017 00:00,5736,5741.35,5741.35,5741.19,0.74319881,
25-10-2017 00:00,5506.33,5523.25,5518.49,5518.4,6.52550137,
24-10-2017 00:00,5869.82,5869.82,5869.82,5869.82,0.02260035,
23-10-2017 00:00,5967.37,5969,5967.38,5967.37,0.26552932,
22-10-2017 00:00,6010.85,6012.86,6010.85,6012.86,0.14238599,
21-10-2017 00:00,5977.26,5984.83,5977.26,5980,1.92181787,
20-10-2017 00:00,5698.68,5700,5700,5700,0.11684654,
19-10-2017 00:00,5569.27,5580.43,5572.64,5569.27,6.36271884,
18-10-2017 00:00,5589.92,5594.86,5591.97,5594.84,4.16924347,
17-10-2017 00:00,5745.61,5756.37,5752.2,5754.3,4.49611611,
16-10-2017 00:00,5683.92,5702.43,5683.92,5688.17,29.41553005,
15-10-2017 00:00,5795.01,5806.94,5795.01,5806.92,3.6482744,
14-10-2017 00:00,5641.87,5653.58,5653.58,5652.53,2.58990443,
13-10-2017 00:00,5434.73,5448,5444,5434.79,3.58054712,
12-10-2017 00:00,4822,4824.54,4822.01,4823.94,9.04747189,
11-10-2017 00:00,4734.99,4751.51,4747.9,4749.22,22.66159438,
10-10-2017 00:00,4761.53,4770.99,4761.67,4770.99,4.06839026,
09-10-2017 00:00,4597.97,4597.98,4597.97,4597.98,2.92892163,
08-10-2017 00:00,4422.28,4438.86,4422.72,4430.95,27.60559739,
07-10-2017 00:00,4356.09,4356.12,4356.09,4356.12,0.27391225,
06-10-2017 00:00,4301,4309.2,4301.09,4309.15,2.75655547,
05-10-2017 00:00,4219.74,4219.74,4219.74,4219.74,0.305,
04-10-2017 00:00,4312.24,4320,4315.73,4312.24,23.99576225,
03-10-2017 00:00,4377.95,4391.41,4391.41,4377.95,3.35623652,
02-10-2017 00:00,4369.33,4377.83,4369.33,4377.83,5.29897974,
01-10-2017 00:00,4322.16,4329.52,4326.09,4322.16,7.04274494,
30-09-2017 00:00,4158.75,4162.04,4162.04,4158.75,1.416805,
29-09-2017 00:00,4180.3,4183.48,4183.47,4180.3,1.67751769,
28-09-2017 00:00,4202.34,4202.37,4202.34,4202.37,0.01577871,
27-09-2017 00:00,3880,3888.03,3883.95,3880,17.55213703,
26-09-2017 00:00,3920.65,3923,3920.66,3923,11.62213116,
25-09-2017 00:00,3658.39,3669.61,3667.01,3658.4,1.47503566,
24-09-2017 00:00,3776.93,3783.25,3781.13,3783.22,8.07799464,
23-09-2017 00:00,3602.89,3611.92,3611.91,3602.89,2.54781516,
22-09-2017 00:00,3607.83,3616.78,3607.83,3616.77,0.08268245,
21-09-2017 00:00,3864,3882.14,3864,3874.98,6.27929412,
20-09-2017 00:00,3884.02,3890.68,3888.8,3884.02,4.76247606,
19-09-2017 00:00,4098.13,4102.99,4102,4102.99,3.58396991,
18-09-2017 00:00,3659.42,3665,3662.95,3665,3.60461108,
17-09-2017 00:00,3666,3676.27,3669.07,3666.01,66.24043783,
16-09-2017 00:00,3687.48,3699.89,3699.89,3688.82,8.73968001,
15-09-2017 00:00,3223.56,3236.98,3227.79,3231.7,13.31374901,
14-09-2017 00:00,3843.34,3861.89,3861.89,3843.34,17.87171335,
13-09-2017 00:00,4170.6,4173.9,4170.6,4173.9,2.5317,
12-09-2017 00:00,4198.89,4207.23,4198.89,4207.23,1.07689811,
11-09-2017 00:00,4214.76,4226.21,4226.21,4226.12,4.35391219,
10-09-2017 00:00,4301.61,4322.44,4322.44,4317.13,1.83555447,
09-09-2017 00:00,4294.45,4327.41,4327.41,4294.45,4.51756681,
08-09-2017 00:00,4606.98,4615,4615,4607.16,2.01459515,
07-09-2017 00:00,4591.43,4609.8,4605.81,4591.43,1.14729828,
06-09-2017 00:00,4397.04,4397.38,4397.38,4397.04,0.98396351,
05-09-2017 00:00,4264.98,4282.8,4282.53,4264.98,13.59216507,
04-09-2017 00:00,4602.92,4608.48,4603.68,4608.29,4.91182019,
03-09-2017 00:00,4595.45,4599.9,4599.9,4599.9,2.34926145,
02-09-2017 00:00,4921.71,4921.87,4921.71,4921.87,11.02054001,
01-09-2017 00:00,4725.05,4736.14,4734.26,4736.14,3.27898807,
31-08-2017 00:00,4566.66,4573.41,4573.15,4566.66,2.22242849,
30-08-2017 00:00,4576.67,4578.82,4578.82,4578.82,6.38958435,
29-08-2017 00:00,4379.99,4385,4385,4379.99,0.37327337,
28-08-2017 00:00,4326.26,4337.7,4329.91,4326.26,2.88927413,
27-08-2017 00:00,4329.71,4335.8,4333.38,4335.8,5.48305002,
26-08-2017 00:00,4348.17,4355.85,4348.17,4355.83,0.34660152,
25-08-2017 00:00,4300.52,4311.78,4308.8,4300.52,4.16761893,
24-08-2017 00:00,4120.97,4128.51,4121.78,4122,0.89149068,
23-08-2017 00:00,4077.99,4090.69,4078,4085,1.47415095,
22-08-2017 00:00,3978.75,3993.23,3987.51,3978.91,1.17181308,
21-08-2017 00:00,4040,4058.64,4058.64,4050.38,4.369672,
20-08-2017 00:00,4090.01,4101.99,4091.99,4101.99,4.91268546,
19-08-2017 00:00,4095.9,4100,4100,4100,0.14700403,
18-08-2017 00:00,4260.47,4290.66,4260.47,4265.48,10.36436911,
17-08-2017 00:00,4361.17,4378.96,4361.99,4378.96,2.97824472,
16-08-2017 00:00,4152,4167.44,4154.99,4156.75,24.37325267,
15-08-2017 00:00,4315.44,4320.95,4320.95,4315.44,0.08557895,
14-08-2017 00:00,4053.87,4070.39,4053.87,4070.39,7.51079549,
13-08-2017 00:00,3855.01,3859.5,3855.04,3855.01,0.36257961,
12-08-2017 00:00,3638.02,3651.74,3651.74,3638.02,0.53197543,
11-08-2017 00:00,3410,3410.7,3410,3410,1.26153509,
10-08-2017 00:00,3342.99,3342.99,3342.99,3342.99,4.56238238,
09-08-2017 00:00,3408.46,3416.31,3408.46,3414.99,3.0366889,
08-08-2017 00:00,3383.11,3387.55,3387.54,3387.53,1.47979667,
07-08-2017 00:00,3216.78,3216.78,3216.78,3216.78,0.01453727,
06-08-2017 00:00,3251.83,3263.62,3263.51,3263.62,0.18472226,
05-08-2017 00:00,2851.01,2851.01,2851.01,2851.01,0.01640981,
04-08-2017 00:00,2790.02,2793.34,2793.34,2790.02,0.76326957,
03-08-2017 00:00,2701.48,2705.99,2703.51,2701.48,2.05995218,
02-08-2017 00:00,2720.55,2732,2732,2732,16.45190015,
01-08-2017 00:00,2851,2855.81,2855.81,2853.36,5.72009182,
